English;Portuguese
And now, the end is near;E agora, o fim está próximo
And so I face the final curtain;E então encaro a cortina final
My friend, I'll say it clear;Meu amigo, direi claramente
I'll state my case, of which I'm certain;Apresentarei meu caso, do qual estou certo
I've lived a life that's full;Vivi uma vida plena
I traveled each and every highway;Viajando por cada estrada
And more, much more than this;E mais, muito mais que isso
I did it my way;Fiz do meu jeito
Regrets, I've had a few;Arrependimentos, tive alguns
But then again, too few to mention;Mas, novamente, tão poucos para mencionar
I did what I had to do;Fiz o que tinha que fazer
And saw it through without exemption;E levei adiante sem exceção
I planned each charted course;Planejei cada rota traçada
Each careful step along the byway;Cada passo cuidadoso ao longo do caminho
And more, much more than this;E mais, muito mais que isso
I did it my way;Fiz do meu jeito
Yes, there were times, I'm sure you knew;Sim, houve momentos, tenho certeza que você soube
When I bit off more than I could chew;Quando mordi mais do que podia mastigar
But through it all, when there was doubt;Mas, apesar de tudo, quando havia dúvida
I ate it up and spit it out;Eu engoli e cuspi
I faced it all and I stood tall;Encarei tudo e me mantive firme
And did it my way;E fiz do meu jeito
I've loved, I've laughed and cried;Amei, ri e chorei
I've had my fill, my share of losing;Tive minha parte, minha cota de perdas
And now, as tears subside;E agora, à medida que as lágrimas cessam
I find it all so amusing;Acho tudo isso tão divertido
To think I did all that;Pensar que fiz tudo isso
And may I say, not in a shy way;E posso dizer, não de maneira tímida
Oh no, oh no, not me;Oh não, oh não, não eu
I did it my way;Fiz do meu jeito
For what is a man, what has he got?;Pois o que é um homem, o que ele tem?
If not himself, then he has naught;Se não a si mesmo, então ele não tem nada
To say the things he truly feels;Para dizer as coisas que realmente sente
And not the words of one who kneels;E não as palavras de quem se ajoelha
The record shows I took the blows;Os registros mostram que eu suportei os golpes
And did it my way!;E fiz do meu jeito!
Yes, it was my way;Sim, foi do meu jeito
